strID,strDST,strSEC,strNM,strAD1,strAD2,StrCM,strCT,strPC,strGR,strILEn,strILFr,strURL,intBuilt,xcoord,ycoord
"1228",DSF-S,Francophone,École Mont Carmel,"1545, Route 525",NULL,Sainte-Marie-de-Kent,Kent,E4S 2H2,"Maternelle, 1-8",French,Français,http://mont-carmel.nbed.nb.ca,"1992",2628715.18952016,7491881.64907856
"4010",ASD-N,Anglophone,Harcourt School,155 West Side Harcourt Rd.,NULL,Harcourt,Kent,E4T 2Y3,"Kindergarten, 1-5",English,Anglais,http://harcourtschool.nbed.nb.ca,"1951",2596025.37252972,7497723.034172
"1226",DSF-S,Francophone,École Clément-Cormier,"37, avenue Richard",NULL,Bouctouche,Kent,E4S 3T5,9-12,French,Français,http://ecc.nbed.nb.ca/,"1969",2636364.98459928,7498815.30271702
"1202",DSF-S,Francophone,École Dr-Marguerite-Michaud,"42, avenue Richard",NULL,Bouctouche,Kent,E4S 3N1,"Maternelle, 1-8",French,Français,http://edmm.nbed.nb.ca,"1988",2636487.0644714,7498619.25369283
"1206",DSF-S,Francophone,École Blanche-Bourgeois,"29, chemin Cocagne Cross",NULL,Cocagne,Kent,E4R 2J1,"Maternelle, 1-8",French,Français,http://blanche-bourgeois.nbed.nb.ca,"1996",2645018.55670335,7484790.25054396
"1227",DSF-S,Francophone,École Camille-Vautour,"7, avenue Clément",NULL,Saint-Antoine,Kent,E4V 1E2,"Maternelle, 1-8",French,Français,http://camille-vautour.nbed.nb.ca,"1992",2634383.42594144,7485877.94910497
"1213",DSF-S,Francophone,École Notre-Dame,"3860, Route 115",NULL,Notre-Dame,Kent,E4V 2J2,"Maternelle, 1-8",French,Français,http://notre-dame.nbed.nb.ca/,"1958",2635958.26779891,7480070.15005956
"1331",DSF-S,Francophone,Polyvalente Louis-J.-Robichaud,"435, rue Main",NULL,Shediac,Westmorland,E4P 2C1,9-12,French,Français,http://ljr.nbed.nb.ca,"1969",2651858.02205371,7470614.22966675
"1315",DSF-S,Francophone,École Mgr-François-Bourgeois,"294, avenue Belliveau",NULL,Shediac,Westmorland,E4P 1H6,"Maternelle, 1-8",French,Français,http://mfb.nbed.nb.ca,"1987",2651374.69277326,7471037.96125115
"1317",DSF-S,Francophone,École Père-Edgar-T.-LeBlanc,"1351, Route 133",NULL,Grand-Barachois,Westmorland,E4P 8C8,"Maternelle, 1-8",French,Français,http://petl.nbed.nb.ca,"2000",2660330.30366161,7471418.4415075
"1356",DSF-S,Francophone,École Donat-Robichaud,"2632, chemin Acadie",NULL,Cap-Pelé,Westmorland,E4N 1E3,"Maternelle, 1-8",French,Français,http://donat-robichaud.nbed.nb.ca,"1977",2671764.46085626,7471042.05315515
"1411",ASD-E,Anglophone,Tantramar Regional High School,223 Main Street,NULL,Sackville,Westmorland,E4L 3A7,9-12,"English, French Immersion","Anglais, Immersion française",http://trhs.nbed.nb.ca,"1968",2665287.04248222,7436651.00518712
"1402",ASD-E,Anglophone,Marshview Middle School,19 Queen's Road,NULL,Sackville,Westmorland,E4L 4G4,5-8,"English, French Immersion","Anglais, Immersion française",http://marshview.nbed.nb.ca/,"1949",2665306.64376224,7434621.22150523
"1417",ASD-E,Anglophone,Salem Elementary School,70 Queen's Road,NULL,Sackville,Westmorland,E4L 4G9,"Kindergarten, 1-4","English, French Immersion","Anglais, Immersion française",http://salem.nbed.nb.ca,"1980",2664852.29150582,7434294.88908892
